id,title,authors,date,doi,url,planets,topics,publication,review
2609.10507,A Candidate Innermost Fifth Planet In the HR 8799 System Revealed By JWST NIRISS Aperture Masking Interferometry,Jayke S. Nguyen; Louis Desdoigts; Alexandra Z. Greenbaum; Benjamin J. S. Pope; Max Charles; Quinn M. Konopacky; Kaitlyn Hessel; Dori Blakely; Matthew De Furio; Clarissa R. Do Ó; René Doyon; Doug Johnstone; Jens Kammerer; David Lafrenière; Bruce A. Macintosh; Michael R. Meyer; Eric L. Nielsen; Anne E. Peck; William Roberson; Anand Sivaramakrishnan; Peter Tuthill; Thomas Vandal; Marie Ygouf,2026-09-09,,https://arxiv.org/abs/2609.10507,hr-8799-e,Formation; System,Publication status not verified,Indexed; full text not audited
2609.08960,Interplanetary Dust Ablation Seeds Silicate Clouds in Exoplanet Atmospheres,Sven Kiefer; Gregory J. Gosselin; Caroline V. Morley; Sean P. S. Gulick,2026-09-08,,https://arxiv.org/abs/2609.08960,wasp-107-b,Atmosphere; Surface,Publication status not verified,Indexed; full text not audited
2609.05599,POSTELLAR: Posterior Stellar Spectrum Sampling - An Alternative to Approximate Stellar Spectra for Exoplanetary Analysis,Dhvani Doshi; Nicolas B. Cowan; Yashar Hezaveh; Gabriel Missael Barco; Étienne Artigau,2026-09-04,,https://arxiv.org/abs/2609.05599,proxima-centauri-b,Atmosphere; Formation; Star,Publication status not verified,Indexed; full text not audited
2609.05264,A Homogeneous Survey of JWST MIRI Transmission Spectra of 10 Exoplanets,Martin Binet; Nikku Madhusudhan; Måns Holmberg; Subhajit Sarkar,2026-09-04,,https://arxiv.org/abs/2609.05264,k2-18-b; toi-270-d,Atmosphere; Surface,Publication status not verified,Indexed; full text not audited
2609.04318,Composition gradients in sub-Neptunes: K2-18 b and TOI-270 d as case studies,Luca Morf; Ravit Helled,2026-09-03,,https://arxiv.org/abs/2609.04318,k2-18-b; toi-270-d,Atmosphere; Formation; Interior,Publication status not verified,Indexed; full text not audited
2609.02708,The Hill sphere transits of Beta Pictoris c and the search for another 1981-like event,V. E. C. Bakker; M. A. Kenworthy; R. Stuik; K. Zwintz; T. Guillot; S. Vach; J. Wang; J. Kammerer; W. Balmer; S. Lacour; S. Zieba; E. E. Mamajek; G. -D. Marleau; R. B. Kuhn; P. Kalas; Y. De Pra; E. J. W. de Mooij; N. Crouzet; M. Buttu; J. I. Bailey,2026-09-02,,https://arxiv.org/abs/2609.02708,beta-pictoris-b,Formation; Star,Publication status not verified,Indexed; full text not audited
2609.03006,Radial velocity detection of the TRAPPIST-1 planetary system with SPIRou and NIRPS,Alexandrine L'Heureux; René Doyon; Charles Cadieux; Pascal Petit; Olivia Lim; Étienne Artigau; Neil J. Cook; Eric Agol; Xavier Bonfils; Julien Morin; Stefano Bellotti; Claire Moutou; Leslie Moranta; Jean-François Donati; Luc Arnold; Xavier Delfosse; Guillaume Hébrard; Romain Allart; François Bouchy; Lucile Mignon; Izan de Castro Leão; Dany Mounzer; Khaled Al Moulla; Frédérique Baron; Björn Benneke; Mathis Bouffard; Casey Brinkman; Bruno L. Canto Martins; Andres Carmona; Ryan Cloutier; Marion Cointepas; Nicolas B. Cowan; Eduardo Cristo; Roseane de Lima Gomes; Jose Renan De Medeiros; Xavier Dumusque; Dasaev O. Fontinele; Thierry Forveille; Yolanda G. C. Frensch; Jonathan Gagné; Jonay I. González Hernández; Nicole Gromek; Melissa J. Hobson; Vigneshwaran Krishnamurthy; Pierrot Lamontagne; Lison Malo; Eder Martioli; Yuri S. Messias; Louise D. Nielsen; Ares Osborn; Léna Parc; Caroline Piaulet-Ghorayeb; Nuno C. Santos; Bennett Neil Skinner; Avidaan Srivastava; Atanas K. Stefanov; Alejandro Suárez Mascareño; Gregg Wade; Joost P. Wardenier; Drew Weisserman,2026-09-02,,https://arxiv.org/abs/2609.03006,trappist-1-b; trappist-1-c; trappist-1-e,Atmosphere; Star; System,Publication status not verified,Indexed; full text not audited
2609.03144,Evolutionary pathways toward survival of a thick CO2- or SO2-rich atmosphere on the lava world TOI-561 b,Emma Postolec; Tim Lichtenberg; Johanna K. Teske; Harrison Nicholls; Mara Attia; Anjali Piette; Lisa Dang; Nicole L. Wallack; Mykhaylo Plotnykov; Alex McGinty; Samuel Boucher; Bo Peng; Diana Valencia,2026-09-02,,https://arxiv.org/abs/2609.03144,toi-561-b,Atmosphere; Formation; Interior; Story; Surface,Publication status not verified,Indexed; full text not audited
2608.26097,The Isotopic and Elemental Abundances of Planet-Host Star TRAPPIST-1,Darío González Picos; Ian J. M. Crossfield; David Coria; Joshua Lothringer; Eric Gaidos; Elisabeth A. C. Mills; Sam de Regt; Donatella Romano; Ignas Snellen,2026-08-26,10.3847/1538-4357/ae9bbc,https://arxiv.org/abs/2608.26097,trappist-1-b; trappist-1-c; trappist-1-e,Atmosphere; Formation; Star,Journal reference available,Indexed; full text not audited
2608.25400,Broadband 12-26 GHz Radio Radiation Reveals Evidence for Micro-flares on AU Mic,Isaiah I. Tristan; Rachel A. Osten; Yuta Notsu; Adina D. Feinstein; Adam F. Kowalski,2026-08-26,10.3847/1538-4357/ae9d50,https://arxiv.org/abs/2608.25400,au-mic-b,Atmosphere; Interior; Star; Surface,Journal reference available,Indexed; full text not audited
